name,birthday
Albert Einstein,03/14/1879
Benjamin Franklin,01/17/1706
Ada Lovelace,12/10/1815
Donald Trump,06/14/1946
Rowan Atkinson,01/6/1955
Nicki Minaj, 12/08/1982
Justine Ezarik, 03/20/1984
Robin Williams,07/21/1981
Chris Brown,05/05/1989
